label,diff,nombre_archivo,ruta_completa,carpeta,grupo,id_registro,id_global
Feb-25,-0.013,ee-chart Parque Arroyo de los Pinos Diferencia mensual NDVI.csv,Parque Arroyo de los Pinos\ee-chart Parque Arroyo de los Pinos Diferencia mensual NDVI.csv,Parque Arroyo de los Pinos,MENSUAL,4,70
Mar-25,0.042,ee-chart Parque Arroyo de los Pinos Diferencia mensual NDVI.csv,Parque Arroyo de los Pinos\ee-chart Parque Arroyo de los Pinos Diferencia mensual NDVI.csv,Parque Arroyo de los Pinos,MENSUAL,5,71
Apr-25,0.029,ee-chart Parque Arroyo de los Pinos Diferencia mensual NDVI.csv,Parque Arroyo de los Pinos\ee-chart Parque Arroyo de los Pinos Diferencia mensual NDVI.csv,Parque Arroyo de los Pinos,MENSUAL,6,72
May-25,0.038,ee-chart Parque Arroyo de los Pinos Diferencia mensual NDVI.csv,Parque Arroyo de los Pinos\ee-chart Parque Arroyo de los Pinos Diferencia mensual NDVI.csv,Parque Arroyo de los Pinos,MENSUAL,7,73
Jun-25,-0.019,ee-chart Parque Arroyo de los Pinos Diferencia mensual NDVI.csv,Parque Arroyo de los Pinos\ee-chart Parque Arroyo de los Pinos Diferencia mensual NDVI.csv,Parque Arroyo de los Pinos,MENSUAL,8,74
Jul-25,0.013,ee-chart Parque Arroyo de los Pinos Diferencia mensual NDVI.csv,Parque Arroyo de los Pinos\ee-chart Parque Arroyo de los Pinos Diferencia mensual NDVI.csv,Parque Arroyo de los Pinos,MENSUAL,9,75
Aug-25,-0.012,ee-chart Parque Arroyo de los Pinos Diferencia mensual NDVI.csv,Parque Arroyo de los Pinos\ee-chart Parque Arroyo de los Pinos Diferencia mensual NDVI.csv,Parque Arroyo de los Pinos,MENSUAL,10,76
Sep-25,-0.026,ee-chart Parque Arroyo de los Pinos Diferencia mensual NDVI.csv,Parque Arroyo de los Pinos\ee-chart Parque Arroyo de los Pinos Diferencia mensual NDVI.csv,Parque Arroyo de los Pinos,MENSUAL,11,77
Nov-24,-0.041,ee-chart Parque Arroyo Pozuelo Diferencia mensual NDVI.csv,Parque Arroyo Pozuelo\ee-chart Parque Arroyo Pozuelo Diferencia mensual NDVI.csv,Parque Arroyo Pozuelo,MENSUAL,1,78
Dec-24,-0.073,ee-chart Parque Arroyo Pozuelo Diferencia mensual NDVI.csv,Parque Arroyo Pozuelo\ee-chart Parque Arroyo Pozuelo Diferencia mensual NDVI.csv,Parque Arroyo Pozuelo,MENSUAL,2,79
Jan-25,-0.066,ee-chart Parque Arroyo Pozuelo Diferencia mensual NDVI.csv,Parque Arroyo Pozuelo\ee-chart Parque Arroyo Pozuelo Diferencia mensual NDVI.csv,Parque Arroyo Pozuelo,MENSUAL,3,80
