system:time_start,0,nombre_archivo,ruta_completa,carpeta,grupo,id_registro,id_global
"Dec 21, 2024",0.396,ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",TIEMPO,9,95
"Dec 23, 2024",0.362,ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",TIEMPO,10,96
"Dec 26, 2024",0.379,ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",TIEMPO,11,97
"Dec 28, 2024",0.379,ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",TIEMPO,12,98
"Dec 31, 2024",0.387,ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",TIEMPO,13,99
"Jan 12, 2025",0.387,ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",TIEMPO,14,100
"Jan 15, 2025",0.38,ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",TIEMPO,15,101
"Jan 17, 2025",0.332,ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",TIEMPO,16,102
"Jan 30, 2025",0.367,ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",TIEMPO,17,103
"Feb 1, 2025",0.351,ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",TIEMPO,18,104
