label,diff,nombre_archivo,ruta_completa,carpeta,grupo,id_registro,system:time_start,0,id_global
Apr-25,-0.15,ee-chart Parque Almacenes -Zona Forestal Diferencia mensual NDVI.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal Diferencia mensual NDVI.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",CON_NDVI,6,,,103
May-25,0.004,ee-chart Parque Almacenes -Zona Forestal Diferencia mensual NDVI.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal Diferencia mensual NDVI.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",CON_NDVI,7,,,104
Jun-25,-0.07,ee-chart Parque Almacenes -Zona Forestal Diferencia mensual NDVI.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal Diferencia mensual NDVI.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",CON_NDVI,8,,,105
Jul-25,0.006,ee-chart Parque Almacenes -Zona Forestal Diferencia mensual NDVI.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal Diferencia mensual NDVI.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",CON_NDVI,9,,,106
Aug-25,-0.024,ee-chart Parque Almacenes -Zona Forestal Diferencia mensual NDVI.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal Diferencia mensual NDVI.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",CON_NDVI,10,,,107
Sep-25,-0.025,ee-chart Parque Almacenes -Zona Forestal Diferencia mensual NDVI.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal Diferencia mensual NDVI.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",CON_NDVI,11,,,108
,,ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",CON_NDVI,1,"Nov 6, 2024",0.656,109
,,ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",CON_NDVI,2,"Nov 11, 2024",0.623,110
,,ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",CON_NDVI,3,"Nov 18, 2024",0.529,111
,,ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",CON_NDVI,4,"Nov 28, 2024",0.467,112
,,ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",CON_NDVI,5,"Dec 3, 2024",0.403,113
,,ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv,"Parque Almacénes -Zona Forestal ( Alex, David y Jésus)\ee-chart Parque Almacenes -Zona Forestal NDVI en el tiempo.csv","Parque Almacénes -Zona Forestal ( Alex, David y Jésus)",CON_NDVI,6,"Dec 6, 2024",0.377,114
